service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
MQ_C1-Sunday,0,0,0,0,0,0,1,20210627,20210829
MQ_C1-Weekday-SDon,1,1,1,1,1,0,0,20210628,20210903
MQ_C1-Saturday,0,0,0,0,0,1,0,20210703,20210904
MV_C1-Sunday,0,0,0,0,0,0,1,20210627,20210829
MV_C1-Weekday-SDon,1,1,1,1,1,0,0,20210628,20210903
MV_C1-Saturday,0,0,0,0,0,1,0,20210703,20210904
MV_C1-Saturday-BM,0,0,0,0,1,0,0,20210702,20210903
OF_C1-Sunday,0,0,0,0,0,0,1,20210627,20210829
OF_C1-Weekday-SDon,1,1,1,1,1,0,0,20210628,20210903
OF_C1-Saturday,0,0,0,0,0,1,0,20210703,20210904
OH_C1-Sunday,0,0,0,0,0,0,1,20210627,20210829
OH_C1-Sunday-BM,0,0,0,0,0,1,0,20210626,20210828
OH_C1-Weekday-SDon,1,1,1,1,1,0,0,20210628,20210903
OH_C1-Weekday-SDon-BM,1,1,1,1,0,0,1,20210627,20210902
OH_C1-Saturday,0,0,0,0,0,1,0,20210703,20210904
OH_C1-Saturday-BM,0,0,0,0,1,0,0,20210702,20210903
